Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab ühistranspordiga kooli?;Kui tihti läheb jalgsi kooli?;Kui tihti sõidab jalgrattaga kooli?;Kui tihti läheb motoriseeritud kaherattalisega kooli?;Kui tihti sõidab ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuleb jalgrattaga koolist?;Kui tihti tuleb motoriseeritud kaherattalisega koolist?;Kui tihti sõidab ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/22/2019 10:42:57;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;1;1;5;5;1;1;lühike tee;1;1;1;5;5;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;?;3;rohkem kui 60 minutit;1;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Pööret lõpetavad juhid ei anna lastele teed, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;2;sissesõidukeelu rikkujad, kiiruseületajad õuealal, valesti parkivad autod;pargin lubatud kohta;kool ei saa, linna saaks;Ei ;reguleerida liikluskorraldust linna tasandil
11/22/2019 11:02:48;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;3;2;2;3;1;1;Nii need käigud kujunevad. Vastavalt olukorrale ja vajadusele;3;1;3;2;3;1;1;Kujuneb, vastavalt olukorrale;Toon autoga koolist (isegi kui vahel harva);5;;5-10 minutit;Viime halva ilma korral, Kui lapsed paluvad, Kui oleme hiljaks jäämas;4;3;Elu läheks lihtsamaks :);31-45 minutit;Pole arutanud, seega ei tea;4;31-45 minutit;3;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel;4;Ummikud ning sellest lähtuvalt närvilisus;Ei pargi kooli juures;Ei;Ei ;
11/22/2019 11:03:02;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;5;1;1;1;1;1;Elame koolist kaugel;2;1;5;1;1;1;1;Puudub tööaja sees last koju transportida.;Viin autoga kooli (isegi kui vahel harva);5;Liiklusõnnetus;31-45 minutit;Elame koolist kaugel.;5;5;Laps peaks olulisel varem üles tõusma, et mitme ümberistumisega ühistranspordiga kooli jõuda.;rohkem kui 60 minutit;Kui auto võimalus puuduks;5;46-60 minutit;4;Reguleerimata ülekäigurajad, Pööret lõpetavad juhid ei anna lastele teed, Sõidukijuhid sõidavad tihti punase fooritulega ristmikule, mida lapsed peavad ületama, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;5;Kitsad liikumistingimused õuealal, partivad autod jne.;Lähedalolev elamu parkla/sõidutee äär.;Ühesuunaline või ringiratast toimiv liiklus.;Laps lähimas bussipeatuses maha lasta ja mitte kitsastesse tingimustesse sõita.;
11/22/2019 11:32:39;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;2;4;5;1;1;1;Ühistransport ja jalgsi liikumise viis on igapäevane kuna lapse kooli asukoht ja alguse aeg ei ühti teiste pereliikmete omadega. Aegajalt toome lapse koolile lähemale autoga, edasi liigub asumi sees ikka jalgsi.;2;1;4;5;1;1;1;Igapäevaselt liigub laps asumi siseselt jalgsi kuni ühistranspordi peatuseni ja kodujuures samuti ühistranspordi peatusest jalgsi koju. Vahest liigub laps pärast kooli linnas ja saab koju koos vanematega autoga.;Viin autoga kooli (isegi kui vahel harva);3;maanteel sõit;11-20 minutit;kui kooli alguse aeg ühtib lapsevanema linna liikumise ajaga;1;5;ta käibki, lihtsalt kui vanem tuleb igapäevaselt ka linna ja lapse kooli alguse aeg klapib hilisema tulemusega, siis miks mitte koos tulla;31-45 minutit;ta käibki;5;31-45 minutit;3;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Väikesed ohutussaared suure liiklusega teel, Lubatud sõidukiirust ületavad juhid, ühistransport ei tule õigeaegselt, bussiootepaviljoni ei ole;1;ei ole;kui toon lapse autoga linna, siis laps väljub autost 10 minutilise jalutuskäigu kaugusel koolist. Ei pea vajalikuks asumise sisse autoga sõita;;;
11/22/2019 11:41:43;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;1;5;1;1;1;1;Ainuke võimalus bussiga nr. 10, 27.;1;1;5;1;1;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;Käib iseseisvalt kogu aeg;3;21-30 minutit;4;Reguleerimata ülekäigurajad, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Rongi ülesõidurada;3;ei ole täheldanud;Ei liigu autoga kooli juures. ;;;jalgsikäigu ja rattateed kus autod ei liigu bussipeatusteni. Tee peale mingid triibud, märgid kuna lapsed telefonis ja pilk suunatud jalge ette.
11/22/2019 12:15:20;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;1-5 km;1;5;1;1;1;1;Laps elab ja õpib kodust eemal;1;1;5;1;1;1;1;Laps elab ja õpib kodust eemal. Ainuke variant on ühistransport;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;On nõus käima;5;11-20 minutit;3;Suurem oht langeda kuriteo ohvriks, Lubatud sõidukiirust ületavad juhid;2;Ei oska vastata;Ei sõida autoga;;;
11/22/2019 13:15:31;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;1;1;5;1;1;1;kool on väga lähedal;1;1;1;5;1;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;laps käib koolis ainult iseseisvalt;5;46-60 minutit;4;Minu arvates ei ole lapsel kooliteel mingeid ohte;1;ei ole tähele pannud;kui vaja, lähen jala, tegemist on elamukvartali-sisese teega;ei oska kommenteerida;Ei ;
11/22/2019 13:16:18;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Üle 10 km;5;2;1;1;1;1;Kuna elame koolist kaugel, on nii mugavam.;5;1;2;1;1;1;1;;Viin autoga kooli (isegi kui vahel harva);4;;21-30 minutit;Bussiliiklus on halb;3;4;Kuna bussiliiklus on halb, siis peale auto rohkem varjante pole.;46-60 minutit;Kui bussiliiklus oleks korras;4;31-45 minutit;2;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Väikesed ohutussaared suure liiklusega teel, Sõidukijuhid sõidavad tihti punase fooritulega ristmikule, mida lapsed peavad ületama, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;4;Lapsevanemad toovad autoga treppi oma võsukesed;Mees pargib väljaspoole kooli territooriumi.;;;
11/22/2019 13:18:57;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;3;4;1;1;1;1;Hommikul kooli autoga, tagasi koolist ühistranspordiga;3;1;4;1;1;1;1;;Viin autoga kooli (isegi kui vahel harva);2;Ülekäigu rada  Väike -Õismäe peatuses. Foor oleks vajalik, on juhtunud seal tähelepanematusest lastega õnnetusi;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);4;4;See ei mõjutaks, kuna kooli kella aeg sobib tööpäeva algusega. Kui hiljem algab kool , läheb iseseisvalt;5-10 minutit;Sellega ei ole probleemi. Vajadusel käib iseseisvalt. Tegeleb trennidega, kooli viimine vähendab lapse väsimust;4;46-60 minutit;2;Reguleerimata ülekäigurajad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Lubatud sõidukiirust ületavad juhid;5;Ülekäigurada Väike -Õismäel vajaks foori;Kooli juures tänaval, väga kitsastes oludes;Arvan, et see on rohkem linna planeeringute tegevus ja tuleb ühiselt tegutseda, mitte ainult kool;Ei ;
11/22/2019 13:25:51;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;1;5;1;1;1;1;Bussiliiklus Paldiski maanteel on hea. ;1;1;5;1;1;1;1;Bussiliiklus on hea;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;Käibki ise tavaliselt. ;4;21-30 minutit;3;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;3;Parkivad autod ;Pargin koolist eemale;Võiks olla tõkkepuu. ;Lapsevanematega rääkida, et kooli õuele ei sõideta. ;Nädalavahetusel ja õhtuti turvateenus, sest olen laupäeva õhtul näinud kooli ukse ees kampa mehi alkoholi tarvitamas ja suitsetamas. 
11/22/2019 13:34:40;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;1;5;1;2;1;1;Kuna see on kõige optimaalsem valik, mul ei ole võimalik lapsi hommikuti kooli viia ja laste koolide vahemaa on ca 20 km.;2;1;5;1;2;1;1;Kuna ma käin ka ise jalgsi tööle, siis ei ole võimalik ja aega lapsi sõidutada.;Toon autoga koolist (isegi kui vahel harva);3;Liiklus, teised inimesed, kes võivad käituda ettearvamatult.;21-30 minutit;Kui on vaja koos arsti vms juurde minna.;4;4;Mitte midagi, kuna ta käibki ise.;31-45 minutit;Ta käibki ise.;4;46-60 minutit;3;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Suurem oht langeda kuriteo ohvriks, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;3;Liiklus;Autoga enamasti, kooli lähedal olevasse parklasse.;Ei;Ei ;
11/22/2019 13:36:34;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;5-10 km;5;2;1;1;1;1;...;1;1;2;1;1;1;1;...;Viin autoga kooli (isegi kui vahel harva);3;paar raskesti ületatavat ristmikku jalgsi minnes;11-20 minutit;Viime halva ilma korral, Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);5;5;ei muutuks väga midagi;46-60 minutit;...;5;rohkem kui 60 minutit;4;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad;3;...;;;;
11/22/2019 13:38:40;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;2;1;5;2;1;1;Kool lähedal ja lapsele mugav ning kiire liikumisviis ;2;1;1;5;2;1;1;Saab ise liikuda ilma et kellestki või millestki sõltuks ;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;On juba väga iseseisev 1 kl lapse kohta ;5;rohkem kui 60 minutit;4;Reguleerimata ülekäigurajad, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;2;Ilma foorita tee ületamine ;Eemale kuna kooli territoorium väike autodega liiklemiseks ;;;Valgusfoorid 
11/22/2019 13:39:45;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;1;1;3;3;1;1;Laps ise eelistab tõukerattaga sõita, kehvade ilmadega ja lumega käib jala.;1;1;1;3;3;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;Käibki ise.;4;rohkem kui 60 minutit;3;Reguleerimata ülekäigurajad, Paneelmajade ümbrused on autosid täis, ei näe tänavale. ;4;Vanemad sõidavad kooli hoovi, ummistavad kitsa sissesõidutee. Keelumärk on, seda ei peeta miskiks.;Ei sõida autoga;On teinud. Vanemad ei hooli. Suhtumine näitab, et lapseke peab saama treppi sõidutatud. Kool teeb aegajalt kontrolli, asi ei muutu.;Mina autoga ei sõida, saan vaid jutuga mõjutada.;
11/22/2019 13:41:33;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;2;5;5;1;1;1;Meie liikumisteed on erinevad ja laps jõuab mugavalt kooli;2;1;5;5;1;1;1;Mugav ;Toon autoga koolist (isegi kui vahel harva);4;Liiklusõnnetus;11-20 minutit;Viime halva ilma korral;4;5;Midagi sest ta käibki ise;46-60 minutit;Kõigega nõus;4;rohkem kui 60 minutit;4;Väikesed ohutussaared suure liiklusega teel;1;Ei ole;Pargin koolist eemale;Ei;Sõidan aeglasemalt;
11/22/2019 13:46:36;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;3;2;4;1;1;1;Laps liigub kooli erinevatest kohtadest, kas jalgsi, bussiga või autoga.;2;1;3;4;1;1;1;;Viin autoga kooli (isegi kui vahel harva);5;;11-20 minutit;Kui lapsed paluvad;3;3;Juba käibki iseseisvalt;31-45 minutit;Käib enamjaolt iseseisvalt;4;31-45 minutit;5;Minu arvates ei ole lapsel kooliteel mingeid ohte;1;Ei ole;Ei pargi kooli juures;Kõik on hästi;Ei;
11/22/2019 13:51:46;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;5;2;1;1;1;1;Jääb hommikul tööle sõites tee peale;1;1;5;1;1;1;1;Jala oleks liiga pikk maa;Viin autoga kooli (isegi kui vahel harva);5;;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);3;2;Laps peaks ärkama senisest niigi varajasest ajast 20 min varem ;31-45 minutit;Kui tunnid algaksid hiljem;5;21-30 minutit;3;Reguleerimata ülekäigurajad, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;3;Ei ole märganud;Pargin poe ees olevasse parklasse, jälgin hoolega eest ja tagant mööduvaid koolilapsi;;Jah, olles tähelepanelik;Talvel võiks poe esise parkla lumest puhta hoida
11/22/2019 14:04:43;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;5;1;1;1;1;1;Kool jääb tööle sõites teekonna peale.;2;1;4;1;1;1;1;Peale kooli läheb laps ema või isa töö juurde, sinna on jala liiga pikk tee.;Viin autoga kooli (isegi kui vahel harva);5;;21-30 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);5;1;Mitte midagi, sest autoga tuleb tööle nagunii sõita.;21-30 minutit;Kui elaksime koolile lähemal ja ühistranspordipeatus oleks paremas kohas. Hetkel peaks õhtul minema üle Paldiski maantee mööda reguleerimata sebra, see on liiga ohtlik.;4;rohkem kui 60 minutit;3;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Lubatud sõidukiirust ületavad juhid;5;Lapsed jooksevad ülekäigurajale ilma selle ohutuses veendumata.;Kollase keskuse parklasse, sest sealt saab laps jala edasi kooli minna. ;;;
11/22/2019 14:10:11;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;1;1;5;4;1;1;Kuna kool on maja taga. ;1;1;1;5;4;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;Ta käibki iseseisvalt;4;rohkem kui 60 minutit;4;Pööret lõpetavad juhid ei anna lastele teed, Lubatud sõidukiirust ületavad juhid;2;Õuealal kiirust ületavad autod;Ei sõida autoga;Hetkel on kooliümbrus ümpris ohutu, ei näe, et kool saaks midagi enamat teha. ;;
11/22/2019 14:11:40;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;1;1;5;1;1;1;kõige otstarbekam;1;1;1;5;1;1;1;;Ei kasuta lapse transportimiseks autot;;;;;;;;alla 5 minuti;laps käib iseseisvalt koolis;4;21-30 minutit;5;Minu arvates ei ole lapsel kooliteel mingeid ohte;4;ei ole;Ei;Ei;Ei ;
