Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab laps ühistranspordiga kooli?;Kui tihti läheb laps jalgsi kooli?;Kui tihti sõidab laps jalgrattaga kooli?;Kui tihti läheb laps motoriseeritud kaherattalisega kooli?;Kui tihti sõidab laps ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb laps autoga koolist?;Kui tihti viiakse laps autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb laps ühistranspordiga koolist?;Kui tihti tuleb laps jalgsi koolist?;Kui tihti tuleb laps jalgrattaga koolist?;Kui tihti tuleb laps motoriseeritud kaherattalisega koolist?;Kui tihti sõidab laps ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate lapse kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see, et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/22/2019 10:42:57;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;kool lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;;Nii ja naa;rohkem kui 60 minutit;Väga ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;sissesõidukeelu rikkujad, kiiruseületajad õuealal, valesti parkivad autod;pargin lubatud kohta;kool ei saa, linna saaks;Ei ;reguleerida liikluskorraldust linna tasandil
11/22/2019 11:02:48;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Pooltel kordadel nädalast;Harva;Harva;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Nii need käigud kujunevad. Vastavalt olukorrale ja vajadusele;Pooltel kordadel nädalast;Mitte kunagi;Pooltel kordadel nädalast;Harva;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Kujuneb, vastavalt olukorrale;Toon autoga koolist (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Viime halva ilma korral+Kui lapsed paluvad+Kui oleme hiljaks jäämas;Pean oluliseks;Nii ja naa;Elu läheks lihtsamaks :);31-45 minutit;Pole arutanud, seega ei tea;Hea;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel;On probleem ;Ummikud ning sellest lähtuvalt närvilisus;Ei pargi kooli juures;Ei;Ei ;
11/22/2019 11:03:02;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elame koolist kaugel;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Puudub tööaja sees last koju transportida.;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;Liiklusõnnetus;31-45 minutit;Elame koolist kaugel.;Pean väga oluliseks;Pean väga oluliseks;Laps peaks olulisel varem üles tõusma, et mitme ümberistumisega ühistranspordiga kooli jõuda.;rohkem kui 60 minutit;Kui auto võimalus puuduks;Väga hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Kitsad liikumistingimused õuealal, partivad autod jne.;Lähedalolev elamu parkla/sõidutee äär.;Ühesuunaline või ringiratast toimiv liiklus.;Laps lähimas bussipeatuses maha lasta ja mitte kitsastesse tingimustesse sõita.;
11/22/2019 11:32:39;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;Harva;Tihti;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;kuna lapse kooli asukoht ja alguse aeg ei ühti teiste pereliikmete omadega. Aegajalt toome autoga;Harva;Mitte kunagi;Tihti;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Igapäevaselt liigub laps asumi siseselt jalgsi kuni ühistranspordi peatuseni ja kodujuures samuti ühistranspordi peatusest jalgsi koju. Vahest liigub laps pärast kooli linnas ja saab koju koos vanematega autoga.;Viin autoga kooli (isegi kui vahel harva);nii ja naa;maanteel sõit;11-20 minutit;kui kooli alguse aeg ühtib lapsevanema linna liikumise ajaga;Ei pea üldse oluliseks;Pean väga oluliseks;Käib ise koolis+lihtsalt kui vanem tuleb igapäevaselt ka linna ja lapse kooli alguse aeg klapib hilisema tulemusega, siis miks mitte koos tulla;31-45 minutit;käibki ise;Väga hea;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel+Lubatud sõidukiirust ületavad juhid+ühistransport ei tule õigeaegselt+bussiootepaviljoni ei ole;Ei tekita muret;Ei ole märganud;kui toon lapse autoga linna, siis laps väljub autost 10 minutilise jalutuskäigu kaugusel koolist. Ei pea vajalikuks asumise sisse autoga sõita;;;
11/22/2019 11:41:43;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ainuke võimalus bussiga nr. 10, 27.;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;käibki ise;Nii ja naa;21-30 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Rongi ülesõidurada;Nii ja naa;Ei ole märganud;Ei liigu autoga kooli juures. ;;;jalgsikäigu ja rattateed kus autod ei liigu bussipeatusteni. Tee peale  triibud, märgid kuna lapsed telefonis ja pilk suunatud jalge ette.
11/22/2019 12:15:20;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;1-5 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elame koolist kaugel;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Laps elab ja õpib kodust eemal. Ainuke variant on ühistransport;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;On nõus käima;Väga hea;11-20 minutit;Nii ja naa;Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;Ei oska vastata;Ei sõida autoga;;;
11/22/2019 13:15:31;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;kool lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Väga hea;46-60 minutit;Suhteliselt ohutu;Minu arvates ei ole lapsel kooliteel mingeid ohte;Ei tekita muret;Ei ole märganud;kui vaja, lähen jala, tegemist on elamukvartali-sisese teega;ei oska kommenteerida;Ei ;
11/22/2019 13:16:18;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Üle 10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elame koolist kaugel;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;;21-30 minutit;Bussiliiklus on halb;Nii ja naa;Pean oluliseks;Kuna bussiliiklus on halb, siis peale auto rohkem varjante pole.;46-60 minutit;Kui bussiliiklus oleks korras;Hea;31-45 minutit;Ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On probleem ;Lapsevanemad toovad autoga treppi oma võsukesed;Mees pargib väljaspoole kooli territooriumi.;;;
11/22/2019 13:18:57;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Pooltel kordadel nädalast;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Hommikul kooli autoga, tagasi koolist ühistranspordiga;Pooltel kordadel nädalast;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);ohtlik;Ülekäigu rada  Väike -Õismäe peatuses. Foor oleks vajalik, on juhtunud seal tähelepanematusest lastega õnnetusi;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Pean oluliseks;See ei mõjutaks, kuna kooli kella aeg sobib tööpäeva algusega. Kui hiljem algab kool , läheb iseseisvalt;5-10 minutit;Sellega ei ole probleemi. Vajadusel käib iseseisvalt. Tegeleb trennidega, kooli viimine vähendab lapse väsimust;Hea;46-60 minutit;Ohtlik;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Ülekäigurada Väike -Õismäel vajaks foori;Kooli juures tänaval, väga kitsastes oludes;Arvan, et see on rohkem linna planeeringute tegevus ja tuleb ühiselt tegutseda, mitte ainult kool;Ei ;
11/22/2019 13:25:51;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Bussiliiklus Paldiski maanteel on hea. ;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Bussiliiklus on hea;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;käibki ise;Hea;21-30 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Nii ja naa;Parkivad autod ;Pargin koolist eemale;Võiks olla tõkkepuu. ;Lapsevanematega rääkida, et kooli õuele ei sõideta. ;Nädalavahetusel ja õhtuti turvateenus, olen nv õhtul näinud kooli ukse ees kampa mehi alkoholi tarvitamas ja suitsetamas. 
11/22/2019 13:34:40;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Kuna see on kõige optimaalsem valik, ei ole võimalik lapsi hommikuti kooli viia ja laste koolide vahemaa on ca 20 km.;Harva;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Kuna ma käin ka ise jalgsi tööle, siis ei ole võimalik ja aega lapsi sõidutada.;Toon autoga koolist (isegi kui vahel harva);nii ja naa;Liiklus, teised inimesed, kes võivad käituda ettearvamatult.;21-30 minutit;Kui on vaja koos arsti vms juurde minna.;Pean oluliseks;Pean oluliseks;Ei muutu midagi+ Käib ise koolis;31-45 minutit;käibki ise;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Nii ja naa;Liiklus;Autoga enamasti, kooli lähedal olevasse parklasse.;Ei;Ei ;
11/22/2019 13:36:34;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Mitte kunagi;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;...;Viin autoga kooli (isegi kui vahel harva);nii ja naa;paar raskesti ületatavat ristmikku jalgsi minnes;11-20 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean väga oluliseks;Pean väga oluliseks;Ei muutu midagi;46-60 minutit;;Väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad;Nii ja naa;;;;;
11/22/2019 13:38:40;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Harva;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;kool lähedal+mugav+Kiireim viis kooli jõudmiseks;Harva;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Saab ise liikuda ilma et kellestki või millestki sõltuks ;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;On juba väga iseseisev 1 kl lapse kohta ;Väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;Ilma foorita tee ületamine ;Eemale kuna kooli territoorium väike autodega liiklemiseks ;;;Valgusfoorid 
