Aeg;Mis koolis käid?;Mis on sinu sugu? ;Mitmendas klassis õpid?;Kui pikk on sinu koolitee?;Kui Tihti sõidad autoga kooli?;Kui Tihti sõidad ühistranspordiga kooli?;Kui Tihti lähed jalgsi kooli?;Kui Tihti sõidad jalgrattaga kooli?;Kui Tihti lähed motoriseeritud kaherattalisega kooli?;Kui Tihti sõidad ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuled autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuled ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuled jalgrattaga koolist?;Kui tihti tuled motoriseeritud kaherattalisega koolist?;Kui tihti sõidad ise koolist?;Miks just see vahend koolist tulemiseks?;Kui turvaliseks pead kooliteed kui sind viiakse autoga?;Milliseid ohte oskad välja tuua?;Kui palju aega kulub sul tavaliselt autoga kooli / koolist koju minemiseks?;Mis põhjustel sind autoga kooli viiakse?;Kui oluliseks pead koolitee valikul mõju oma tervisele?;Kui oluliseks pead koolitee valikul mõju keskkonnale?;Mis see sinu jaoks muudaks kui hakkaksid rohkem iseseisvalt koolis käima?;Kui palju aega kulub sul tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad oma liikluskäitumist?;Kui palju keskmiselt liigud (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad oma kooliteed kui lähed kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Milliseid sinu hinnangul ohtlikke liiklussituatsioone oled kooli ümbruses liigeldes tähele pannud?;Kirjelda lastevanemate liikluskäitumist kooli ümbruses?;Milline on sinu enda liikluskäitumine kooli ümbruses?;Kas sinu hinnangul saaks kool midagi kooli ümbruse ohutumaks muutmiseks teha?;Milliseid muid lahendusi pakud välja selleks et kooli ümbrust ohutumaks muuta?
22.11.2019 13:01;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;ei oska vastata;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Muud mood ei saa;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;;T�iesti ohutu;;rohkem kui 60 minutit;ei viida autoga kooli;Nii ja naa;Pean oluliseks;ei muudaks palju;rohkem kui 60 minutit;kui rohkem aega on;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;;;;
22.11.2019 13:25;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Need on kiired;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Liiklus avarii ;11-20 minutit;Halva ilma korral, Kui olen hiljaks jäämas;Nii ja naa;Suhteliselt ebaoluline;Juba käin. ;21-30 minutit;Ma juba käin. ;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;Purjus autojuht sõitis inimesi täis olevasse bussi peatusesse. ;Ohutu. ;Ei oska vastata. ;Ei. ;
22.11.2019 13:38;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ma elan väga lähedal koolile;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;alla 5 minuti;Ma kõnnin;Pean v�ga oluliseks;Pean v�ga oluliseks;Ma juba käin;alla 5 minuti;Kui kool hakkaks hiljem;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;Kooli sissepäesu ees sõidavad autod;;;Võõrad kooli ette ei sõidaks;
22.11.2019 13:41;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ühistransport on kõige mugavam ja säästlikuim viis;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Liiklus õnnetused, talvel libe tee;21-30 minutit;Kui lähen kooli isa juurest, kes elab Tallinnast väljas;Pean oluliseks;Nii ja naa;Mitte midagi;31-45 minutit;Kui kodu on ligemal koolile;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Pean ületama pikka ülekäigurada ning vahel auto juhid ei anna teed;;;;;
22.11.2019 13:41;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Harva;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Saan ise minna ;Harva;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Saab jalutada ;T�iesti ohutu;;11-20 minutit;Halva ilma korral;Pean v�ga oluliseks;Ei pea �ldse oluliseks;Käin iseseisvalt ;11-20 minutit;Käin jala koguaeg ;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;;;;
22.11.2019 13:42;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Üle 10 km;Alati;Harva;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Kuna see on kõige mugavam;Tihti;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;11-20 minutit;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Suhteliselt ebaoluline;Suhteliselt ebaoluline;Peaks varem kodust minema minema;31-45 minutit;Kui kooli hakkaks hiljem, ei peaks nii palju käima, oleks hea ilm, kui koolikott oleks kergem;V�ga hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Pargitakse valgetes kohtades, ei lasta lapsi üle ülekäiguraja, purjus autojuht sõitis vastu bussipeatust. ;Nad peavad oma lapsed tooma täiesti kooli ette kuha ei tohi ültse minna. ;Ma olen kindel ;Jah;Mitte lasta lapsevanematel oma lapsi kooli ette viia
22.11.2019 13:47;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Pooltel kordadel n�dalas;Tihti;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mul pole valikut;Harva;Mitte kunagi;Tihti;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;mdea;T�iesti ohutu;südamerabandus;5-10 minutit;Siis kui ise palun, et mind viidaks autoga;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;ei tea;5-10 minutit;ma käin juba;V�ga hea;rohkem kui 60 minutit;Nii ja naa;Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;ma ei pane tähele;normaalne;hea;ei;laske maximas käija 
22.11.2019 13:49;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest ma elen siin lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Autod;alla 5 minuti;Mind ei viida;Ei pea �ldse oluliseks;Nii ja naa;Mitte midagi;alla 5 minuti;K;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;;Autosid;;Hea;Ei;Ei
22.11.2019 13:51;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tahan ise liikuda, lihtsam;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Lihtsam;T�iesti ohutu;Ei olegi;11-20 minutit;Halva ilma korral, Kui olen hiljaks jäämas;Pean v�ga oluliseks;Pean v�ga oluliseks;Ei muuda midagi, käin ise;46-60 minutit;Käin ise;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Halvasti valgustatud tänavad;Bussi tagant jooksmine, telefonis olemine, üle tee jooksmine;Hea;Hea;Ei tea;Ei tea
22.11.2019 14:53;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;See võtab kõige vähem aega;Alati;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kõige kiirem viis;T�iesti ohutu;;alla 5 minuti;Mind ei viida autoga;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Ei midagi juba käin iseseisvalt;5-10 minutit;Juba käin iseseisvalt;V�ga hea;31-45 minutit;T�iesti ohutu;;Autod võivad kooli ukse ja värava sissepääsu vahele tulla ;Hästi ;Väga hea;Teha mingi jalakäijate tee kooli väravast sissepääsu juurde;Rohkem pole midagi 
22.11.2019 14:58;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elan nii kaugel et ei võimalda minna muuga kui autoga;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Vanemad lõpetavad erineval ajal ja on kiirem minna ühistranspordiga;Nii ja naa;Harku ristmikul võiks olla üks lisarada ja kiirendusrada Õismäe poole et teele sõit oleks kiirem ja ohutum;31-45 minutit;Halva ilma korral, Kui olen hiljaks jäämas, Kui olen on hommikul väga väsinud, Sest nii on ohutum, Nii on kiirem;Suhteliselt ebaoluline;Suhteliselt ebaoluline;Varem ärkamine ja liiklusega arvestamine;rohkem kui 60 minutit;Kui kool oleks lähemal;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Koolihoovi sissesõit. Väike-õismäe poe parkla;Isekas. Koolihoovi sissesõidu ümbrus on tihti ummikus kuna maja elanikud tagurdavad välj ja paljud vanemad ei tea liiklusreegleid sellistes olukordades;Tähelepanelik ;Jah, parem ligipääsetavus koolihoovi ja selle ümbruses;
22.11.2019 16:20;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna tee koolini on liiga pikk ja ühistranspordi valikuid on vähe.;Tihti;Mitte kunagi;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mõni kord saan koju minna koos vennaga autoga, mõni kord pean väheste bussidega, mis viivad mind koju. Ma elan liiga kaugel linnast.;T�iesti ohutu;;21-30 minutit;Kuna tee kooli on liiga pikk ja bussid ei käi hommikul minu kodu kohas.;Pean v�ga oluliseks;Pean v�ga oluliseks;Ma peaksin varem hommikul ärkama, et saada kõige varemate busside peale.;21-30 minutit;Kui rohkem busse sõidaks minu kodu juurest läbi.;V�ga hea;5-10 minutit;T�iesti ohutu;Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;Hea.;Päris hea liikluskäitumine.;;
22.11.2019 16:49;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;isa töötab kooli lähedal;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;võib juhtuda avarii;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean oluliseks;Pean v�ga oluliseks;mul läheb kauem aega;31-45 minutit;kui me elaksime koolile lähemal;Hea;21-30 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;;;;
22.11.2019 18:15;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav;T�iesti ohutu;Teine auto sõidab sisse;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas, Kui olen on hommikul väga väsinud, Sest nii on ohutum;Pean oluliseks;Nii ja naa;Põmevam;21-30 minutit;Kõik on olemas;Nii ja naa;21-30 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks;Surnud lind tänaval;Normaalne;Ilusti, ei jookse;Rohkem valgust;Lastele eraldi tee
22.11.2019 19:16;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugavam ja kiireim;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muid viise pole;T�iesti ohutu;;21-30 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Suhteliselt ebaoluline;Pean oluliseks;Mitte midagi;21-30 minutit;Kui vanematel ei ole aega;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Väikesed ohutussaared suure liiklusega teel;;;;;
22.11.2019 20:34;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;5-10 km;Harva;Harva;Harva;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Mitte kunagi;Minule sobivad;Harva;Mitte kunagi;Harva;Harva;Pooltel kordadel n�dalas;Tihti;Mitte kunagi;;Ohutu;Märjad teed ja kooli territooriumile sisenemine.;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga;Pean v�ga oluliseks;Nii ja naa;Juba käin iseseisvalt koolis;5-10 minutit;Juba käin;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Kooliterritooriumisse sisenemisel+värava koht;Kooli väraval mootorrattaga sisenemisel.;Keelumärgi juures kujunevad tihti ummikud.;Väga hea;Värava sissepääsu nurga avamine või paremini nähtavaks teha.;
22.11.2019 22:29;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest vanemad töötavad ning nad ei saa meid viia;Harva;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tagasi minnes ma lähen vanaemale külla. Tema kodu asub kooli läheduses umbes 300-400m;T�iesti ohutu;Avarii;5-10 minutit;Mind viiakse autoga siis kui on mingi üritus mille tõttu on lihtsam kõike teha;Suhteliselt ebaoluline;Ei pea �ldse oluliseks;Ma käin iseseisvalt ja ei tea mida vastata, sest see on igapäevane elu;11-20 minutit;"Küsimisele ""kas"" ma vastan ""jah""";V�ga hea;11-20 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Minu arvates ei kooliteel mingeid ohte;Hommikuti kui õpetajad ja lastevanemad sõidavad kooli siis on tee kinni auto juhtidele;Paljud lastevanemad sõidavad kooli teritooriumile, mis pole lubatud hommikuti;Ma vaatan ja kuulan kust tulevad autod ;Pole vastust;Pole vastust
